234,119.63,126.6,53.907,50.117,97.699,146.8,106.08,75.554,61.373,88.651,44.827,77.019,44.188,104.79,80.692,64.318,67.059,292.32,83.757,173.1
235,138.96,131.55,60.584,46.887,93.519,136.45,99.032,76.006,65.958,99.084,43.632,77.677,45.255,94.84,86.067,67.685,66.233,306.93,83.958,183.35
236,160.58,130.99,69.086,44.9,92.407,126.3,93.072,78.377,69.832,110.32,42.775,79.369,45.98,88.211,93.171,72.572,66.445,323.15,84.625,190.92
237,182.03,126.22,79.232,44.033,94.177,117.56,88.795,82.494,72.555,119.88,42.508,81.823,47.09,84.514,102.1,79.382,66.695,336.3,84.677,195.86
238,199.13,120.12,90.204,44.186,98.305,110.99,85.96,88.493,74.149,124.95,43.078,84.419,49.254,83.315,112.13,88.195,66.12,343.04,83.52,198.5
239,207.29,114.96,100.37,45.277,103.7,106.81,83.837,96.793,74.576,124.3,44.72,86.757,52.821,83.986,121.28,98.601,64.598,343.26,81.507,198
240,204.38,111.54,107.75,47.199,108.63,104.76,81.806,107.71,73.576,119.38,47.637,89.144,57.687,85.515,126.71,109.49,62.779,338.54,79.509,192.88
241,192.65,109.53,111.19,49.78,111.26,104.08,79.888,120.84,71.242,113.12,51.992,92.445,63.135,86.501,126.57,119.24,61.48,328.86,78.175,183.21
242,177.11,108.13,110.88,52.797,110.84,103.45,78.672,134.53,68.367,107.78,57.866,97.539,67.758,85.61,121.65,126.66,61.098,312.53,77.726,171.38
243,162.47,106.41,107.79,56.101,108.38,101.51,78.773,145.65,66.003,104.09,65.166,105.01,69.934,82.305,114.72,131.93,61.425,289.71,78.294,160.37
244,151.47,103.49,102.87,59.719,105.87,97.729,80.393,150.7,64.891,101.51,73.531,115.23,68.935,77.14,108.52,136.22,61.804,263.87,80.256,151.95
245,144.96,99.208,97.108,63.779,105.06,92.677,83.116,147.77,65.357,99.163,82.414,128.55,65.544,71.306,104.45,140.43,61.612,239.23,84.207,146.42
